index,grid_x,grid_y,world_x_m,world_y_m,segment_distance_m,cumulative_distance_m
0,67,33,0.5550000000000002,-0.014999999999999902,0.0,0.0
1,68,33,0.6050000000000004,-0.014999999999999902,0.05,0.05
2,69,33,0.6550000000000002,-0.014999999999999902,0.05,0.1
3,70,32,0.7050000000000005,-0.06499999999999995,0.07071067811865477,0.17071067811865476
4,71,32,0.7550000000000003,-0.06499999999999995,0.05,0.22071067811865475
5,72,32,0.8050000000000002,-0.06499999999999995,0.05,0.27071067811865474
6,73,32,0.8550000000000004,-0.06499999999999995,0.05,0.3207106781186547
7,74,33,0.9050000000000002,-0.014999999999999902,0.07071067811865477,0.3914213562373095
8,75,33,0.9550000000000005,-0.014999999999999902,0.05,0.4414213562373095
9,75,34,0.9550000000000005,0.03500000000000014,0.05,0.4914213562373095
10,76,35,1.0050000000000003,0.08500000000000019,0.07071067811865477,0.5621320343559643
11,76,36,1.0050000000000003,0.13500000000000023,0.05,0.6121320343559643
12,76,37,1.0050000000000003,0.18500000000000005,0.05,0.6621320343559643
13,76,38,1.0050000000000003,0.2350000000000001,0.05,0.7121320343559644
14,76,39,1.0050000000000003,0.28500000000000014,0.05,0.7621320343559644
